Species,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Mppersp,Habitat,Trophic.Niche,Migration
Fratercula arctica,51,8.7,163.6,593,0.27,Marine,Aquatic predator,3
Rissa tridactyla,44.5,5.3,301,416,0.78,Marine,Aquatic predator,2
Larus argentatus,74,8.9,430,1091,0.14,Coastal,Aquatic predator,2
Larus ridibundus,43.4,4,291.2,284,0.33,Wetland,Aquatic predator,2
Fulmarus glacialis,41.3,11.9,321.1,611.9,32.5,Marine,Aquatic predator,3
Puffinus mauretanicus,45.1,7.7,242.2,497,5,Marine,Aquatic predator,2
Ardenna gravis,54.7,8.3,317.8,849,8,Marine,Aquatic predator,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,5.2,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,10.4,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,5.6,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,6,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,5.3,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,7.3,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,2.3,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,8.4,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,2.2,Wetland,Invertivore,3
Leiothlypis peregrina,10.9,3.1,62.5,8.9,19,Forest,Invertivore,3
Junco hyemalis,11.6,4.5,75.2,19.5,13.7,Forest,Granivore,3
Catharus guttatus,18.8,3.4,89,30.1,35.3,Forest,Invertivore,3
Zonotrichia albicollis,13.6,5.1,72.8,24.4,19.3,Woodland,Omnivore,3
Seiurus aurocapilla,15.1,3.6,73.2,18.8,10,Forest,Invertivore,3
Anser caerulescens,61.8,19.4,411.8,2636.2,0.02,Grassland,Herbivore aquatic,3
Branta canadensis,50,19.9,422.9,2811.7,0.05,Grassland,Herbivore terrestrial,3
Mareca americana,44.9,16,253.2,754.6,0.06,Wetland,Omnivore,3
Anas platyrhynchos,58.5,20.8,263.4,843.4,0.07,Wetland,Herbivore aquatic,2
Anas acuta,48.1,14.5,256.7,944.6,0.1,Aquatic,Herbivore aquatic,3
Melanitta deglandi,46.8,27.2,270,1800.2,0.06,Wetland,Aquatic predator,3
Somateria mollissima,62.1,19.1,280.2,2060.9,0.02,Marine,Aquatic predator,2
Gavia adamsii,104.8,10.4,371.4,4944.3,0.33,Wetland,Aquatic predator,3
Puffinus newelli,42.7,7,241,350.8,1.2,Marine,Aquatic predator,2
Ardenna pacifica,40.9,7.9,296.8,388,2.38,Marine,Aquatic predator,3
Ardenna pacifica,40.9,7.9,296.8,388,3.68,Marine,Aquatic predator,3
Ardenna carneipes,47.8,8.9,310.2,609,,Marine,Aquatic predator,3
Ardenna tenuirostris,37.2,6.5,262.2,559,,Marine,Aquatic predator,3
Hydrobates monorhis,16.5,3,152.6,39.8,15.2,Marine,Aquatic predator,3
Hydrobates monorhis,16.5,3,152.6,39.8,24.3,Marine,Aquatic predator,3
Ardenna carneipes,47.8,8.9,310.2,609,,Marine,Aquatic predator,3
Ardenna carneipes,47.8,8.9,310.2,609,,Marine,Aquatic predator,3
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,9.4,Human modified,Vertivore,1
Bubo virginianus,44.7,17.8,371.2,1354.5,,Forest,Vertivore,1
Bubo virginianus,44.7,17.8,371.2,1354.5,,Forest,Vertivore,1
Bubo virginianus,44.7,17.8,371.2,1354.5,18.5,Forest,Vertivore,1
Buteo lineatus,33.1,11.8,319,603.7,,Woodland,Vertivore,3
Buteo lineatus,33.1,11.8,319,603.7,,Woodland,Vertivore,3
Buteo lineatus,33.1,11.8,319,603.7,,Woodland,Vertivore,3
Buteo lineatus,33.1,11.8,319,603.7,,Woodland,Vertivore,3
Buteo lineatus,33.1,11.8,319,603.7,17,Woodland,Vertivore,3
Buteo jamaicensis,37.6,14.4,402.8,1101.2,,Woodland,Vertivore,3
Buteo jamaicensis,37.6,14.4,402.8,1101.2,,Woodland,Vertivore,3
Buteo jamaicensis,37.6,14.4,402.8,1101.2,,Woodland,Vertivore,3
Buteo jamaicensis,37.6,14.4,402.8,1101.2,8.3,Woodland,Vertivore,3
Calidris pygmaea,22.9,4,99.4,31.7,,Coastal,Aquatic predator,3
Tringa guttifer,57.4,4.8,171.2,158,,Coastal,Aquatic predator,3
Calidris alpina,36.9,2.9,115.1,51.9,,Wetland,Aquatic predator,3
Calidris ruficollis,19,2.4,99.5,26.8,,Grassland,Aquatic predator,3
Charadrius alexandrinus,16.3,3.1,106.2,42.3,,Coastal,Aquatic predator,2
Charadrius mongolus,18,4,128.8,64,,Wetland,Aquatic predator,3
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus michahellis,67.6,8.6,422.8,1111.9,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,,Coastal,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,0.5,Marine,Aquatic predator,2
Puffinus lherminieri,31,4.9,185.3,192.8,0.5,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,1.1,Marine,Aquatic predator,3
Phaethon aethereus,66.4,8.8,309.2,750,1.5,Marine,Aquatic predator,3
Sula leucogaster,100.9,20.5,388.6,1288.8,1.5,Marine,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,,Marine,Aquatic predator,3
Phaethon aethereus,66.4,8.8,309.2,750,,Marine,Aquatic predator,3
Puffinus lherminieri,31,4.9,185.3,192.8,,Marine,Aquatic predator,2
Sula leucogaster,100.9,20.5,388.6,1288.8,,Marine,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,,Marine,Aquatic predator,3
Phaethon aethereus,66.4,8.8,309.2,750,,Marine,Aquatic predator,3
Puffinus lherminieri,31,4.9,185.3,192.8,,Marine,Aquatic predator,2
Sula leucogaster,100.9,20.5,388.6,1288.8,,Marine,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,,Marine,Aquatic predator,3
