study_id,Title,Reference,Species,Migratory_status,IUCN,Species_type,Feeding_habit,Max_Body_mass_g,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue_abr,Tissue,Extraction_method,Identification,Ref_method,Number_of_species,TNMP,Mppersp,mp
1,First Report on Microplastics Quanti?cation in Poultry Chicken and Potential Human Health Risks in Pakistan,Bilal et al_2023,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,Gizzard,KOH,Stereomicroscope & FTIR,,,,35.1,35.1
1,First Report on Microplastics Quanti?cation in Poultry Chicken and Potential Human Health Risks in Pakistan,Bilal et al_2023,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,Gizzard,KOH,Stereomicroscope & FTIR,,,,32.1,32.1
1,First Report on Microplastics Quanti?cation in Poultry Chicken and Potential Human Health Risks in Pakistan,Bilal et al_2023,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,Gizzard,KOH,Stereomicroscope & FTIR,,,,40.1,40.1
1,First Report on Microplastics Quanti?cation in Poultry Chicken and Potential Human Health Risks in Pakistan,Bilal et al_2023,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,Gizzard,KOH,Stereomicroscope & FTIR,,,,35.0,35.0
2,Field evidence for transfer of plastic debris along a terrestrial food chain,Lwanga et al_2017,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,crop,Crop,Washed & Sieve,Stereomicroscope,Franeker et al. 2011,,,32.4,32.4
2,Field evidence for transfer of plastic debris along a terrestrial food chain,Lwanga et al_2017,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,gizzard,Gizzard,Washed & Sieve,Stereomicroscope,Franeker et al. 2011,,,57.0,57.0
2,Field evidence for transfer of plastic debris along a terrestrial food chain,Lwanga et al_2017,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,crop,Crop,Washed & Sieve,Stereomicroscope,Franeker et al. 2011,,,11.0,11.0
2,Field evidence for transfer of plastic debris along a terrestrial food chain,Lwanga et al_2017,Gallus gallus,Not a Migrant,LC,Landbird,Omnivore,2580.20 ,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,gizzard,Gizzard,Washed & Sieve,Stereomicroscope,Franeker et al. 2011,,,45.8,45.8
3,Microplastic Quantiffcation of the Proventriculus and Gizzard of Florida Seabirds,Clark et al_2021,Larus atricilla,Full migrant,LC,Aquatic bird,Carnivore,334.53 ,44.10 ,5.10 ,298.40 ,307.40 ,Carnivore,Aquatic predator,Marine,3,2,Aerial,-80.53 ,25.01 ,Florida Keys Wild Bird Center,Florida,United States of America,North America,2018,,,gizzard,Gizzard,KOH,Stereomicroscope,Provencher et al. 2019; Zhao et al. 2016,13,,7.6,7.6
3,Microplastic Quantiffcation of the Proventriculus and Gizzard of Florida Seabirds,Clark et al_2021,Pelecanus occidentalis,Full migrant,LC,Aquatic bird,Piscivore,5000.00 ,319.50 ,38.80 ,494.60 ,3427.80 ,Carnivore,Aquatic predator,Marine,3,1,Aerial,-80.53 ,25.01 ,Florida Keys Wild Bird Center,Florida,United States of America,North America,2018,,,gizzard,Gizzard,KOH,Stereomicroscope,Provencher et al. 2019; Zhao et al. 2016,12,,29.9,29.9
