"Continent","n","mean_MP","sd_MP","median_MP","pct_below_20"
"Asia",63,76.5993157142857,183.184985820953,16.22,60.3174603174603
"North America",65,9.74569230769231,11.0291881173931,6.57,89.2307692307692
"Europe",35,4.86330285714286,9.17362057623686,1,91.4285714285714
"Oceania",5,3.708,3.63863573334842,1.1,100
"Africa",5,1.02,0.501996015920445,1.1,100
"Antarctica",3,0.25,0.0871779788708135,0.29,100
